studentid,RecentYear,AcademicYear,term,Cohort,CompleteDevMath,CompleteDevEnglish,Major1,Major2,complete1,complete2,completeCIP1,completeCIP2,TransferIntent,DegreeTypeSought,TermGPA,CumGPA,City,state,Zip,RegistrationDate,Gender,BirthYear,Hispanic,AmericanIndian,Asian,Black,NativeHawaiian,White,TwoOrMoreRace,HSDip,HSDipYr,HSGPAUnwtd,FirstGen,DualHSSummerEnroll,EnrollmentStatus,NumColCredAttemptTransfer,NumColCredAcceptTransfer,CumLoanAtEntry,HighDeg,MathPlacement,EngPlacement,GatewayMathStatus,GatewayEnglishStatus
26047,17,2014-15,3,2014-15,-2,-2,42.0101,-1,0,0,-2,-2,-1,6,3.7,2.77,Bayonne,NJ,7002,20140507,1,1990,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,65,66,-1,0,0,0,0,0
26359,17,2015-16,1,2015-16,-2,-2,27.0101,-1,0,0,-2,-2,-1,6,3.58,3.57,Bayonne,NJ,7002,20150624,1,1987,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,98,91,-1,0,0,0,0,0
26367,17,2011-12,3,2011-12,1,1,0,-1,0,0,-2,-2,-1,6,2.76,2.76,"Jersey City",NJ,7306,20110627,1,1993,0,0,1,0,0,0,0,1,2010,-1,-1,0,1,-2,-2,-2,0,1,1,0,0
26404,13,2011-12,1,2011-12,0,1,50.0901,-1,0,0,-2,-2,-1,6,2.65,2.65,"Jersey City",NJ,7305,20110808,1,1993,1,0,0,0,0,0,0,1,2011,2.7,-1,0,1,-2,-2,-2,0,1,1,1,0
26586,13,2012-13,3,2012-13,1,-2,50.0701,-1,0,0,-2,-2,-1,6,0.85,0.85,Lyndhurst,NJ,7071,20120813,2,1994,0,0,0,0,0,1,0,1,-1,2.6,-1,0,1,-2,-2,-2,0,1,0,0,1
26660,12,2011-12,3,2011-12,-2,-2,52.1401,-1,0,0,-2,-2,-1,6,3.52,3.52,"Jersey City",NJ,7305,20110726,1,1992,0,0,1,0,0,0,0,1,2011,-1,-1,0,1,-2,-2,-2,0,0,0,0,1
26846,15,2011-12,3,2011-12,-2,-2,52.0301,-1,0,0,-2,-2,-1,6,3.4,3.4,Orange,NJ,7305,20110728,1,1983,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,88,68,-1,0,0,0,0,0
27743,16,2014-15,3,2014-15,-2,-2,42.0101,-1,0,0,-2,-2,-1,6,2.58,2.57,Union,NJ,7083,20140729,1,1992,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,107,66,-1,2,0,0,0,0
27936,16,2015-16,3,2015-16,-2,-2,23.0101,-1,0,0,-2,-2,-1,6,2.65,2.65,"Jersey City",NJ,7305,20150116,2,1969,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,102,66,-1,2,0,0,0,0
28117,16,2015-16,1,2015-16,1,0,9.0101,-1,0,0,-2,-2,-1,6,0,0,"Jersey City",NJ,7304,20150817,1,1992,0,0,0,1,0,0,0,1,2013,2,-1,0,1,-2,-2,-2,0,1,1,0,0
28229,17,2016-17,6,2016-17,-2,-2,51.3899,-1,0,0,-2,-2,-1,6,3.34,3.28,"Jersey City",NJ,7002,20160720,2,1982,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,0,0,-1,0,0,0,0,0
28567,12,2011-12,1,2011-12,-2,-2,52.0301,-1,0,0,-2,-2,-1,6,1.54,1.54,Newark,NJ,7112,20110809,1,1982,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,120,96,-1,3,0,0,0,0
28848,15,2014-15,3,2014-15,-2,-2,51.3801,-1,0,0,-2,-2,-1,6,3,3,"Union City",NJ,7087,20140501,2,1965,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,-1,79,-1,2,0,0,0,0
28925,17,2012-13,3,2012-13,-2,-2,23.0101,-1,0,0,-2,-2,-1,6,3.4,3.4,"Jersey City",NJ,7305,20120613,2,1992,0,0,1,0,0,0,0,1,-1,-1,-1,0,2,68,38,-1,0,0,0,0,0
29164,15,2011-12,1,2011-12,-2,-2,42.0101,45,0,0,-2,-2,-1,6,3.2,3.2,Bayonne,NJ,7305,20110620,2,1982,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,0,0,-1,2,0,0,0,0
29716,15,2013-14,3,2012-13,-2,-2,43.0199,-1,0,0,-2,-2,-1,6,3.7,3.7,"Jersey City",NJ,7306,20121211,2,1968,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,-1,66,-1,2,0,0,0,0
30174,13,2011-12,3,2011-12,-2,-2,45.1101,-1,0,0,-2,-2,-1,6,2.58,2.57,"Union City",NJ,7087,20111222,2,1982,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,92,57,-1,2,0,0,0,0
30292,17,2016-17,1,2016-17,-2,-2,51.3801,-1,0,0,-2,-2,-1,6,3.83,3.82,Bayonne,NJ,7002,20160803,2,1981,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,0,0,-1,0,0,0,0,0
30480,16,2012-13,1,2012-13,0,-2,45.1001,-1,0,0,-2,-2,-1,6,4,4,Bayonne,NJ,7002,20120815,1,1982,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,72,66,-1,2,1,0,0,0
30767,13,2012-13,1,2011-12,-2,-2,52.0201,-1,0,0,-2,-2,-1,6,3.3,2.65,"Jersey City",NJ,7305,20120106,2,1961,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,0,0,-1,0,0,0,0,0
30958,14,2012-13,6,2012-13,-2,-2,0,-1,0,0,-2,-2,-1,6,3.08,3.07,"Cliffside Park",NJ,7093,20120731,2,1980,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,2,65,66,-1,2,0,0,0,0
30985,17,2014-15,1,2014-15,0,0,50.0701,-1,0,0,-2,-2,-1,6,1.7,0.85,"North Bergen",NJ,7047,20140626,2,1981,1,0,0,0,0,0,0,1,2014,-1,-1,0,1,-2,-2,-2,0,1,1,0,0
31126,16,2015-16,1,2015-16,-2,-2,45.1101,-1,0,0,-2,-2,-1,6,0,0,"Jersey City",NJ,7305,20150828,2,1982,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,76,30,-1,0,0,0,0,0
31216,17,2013-14,3,2013-14,0,-2,52.0801,-1,0,0,-2,-2,-1,6,3.09,3.09,Bayonne,NJ,7002,20130618,1,1984,0,0,0,0,0,1,0,1,-1,2.2,-1,0,1,-2,-2,-2,0,1,0,0,1
31224,15,2014-15,1,2014-15,-1,-1,0,-1,0,0,-2,-2,-1,6,3,3,Bayonne,NJ,7002,20140902,1,1991,0,0,0,0,0,0,1,1,-1,-1,-1,0,1,-2,-2,-2,0,-1,-1,0,0
31659,15,2012-13,3,2012-13,0,0,52.0801,-1,0,0,-2,-2,-1,6,3,3,Elizabeth,NJ,7047,20120426,2,1978,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,79,66,-1,2,1,1,0,0
32175,13,2011-12,6,2011-12,0,-2,42.0101,-1,0,0,-2,-2,-1,6,3.3,3.3,"Union City",NJ,7306,20110325,2,1976,0,0,0,0,0,1,0,1,1996,-1,-1,0,1,-2,-2,-2,0,1,0,0,0
32551,13,2012-13,6,2011-12,-2,-2,52.0201,-1,0,0,-2,-2,-1,6,3.4,3.32,Elizabethport,NJ,7206,20120110,1,1987,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,107,73,-1,0,0,0,0,0
32781,14,2013-14,1,2012-13,0,-2,52.0301,-1,0,0,-2,-2,-1,6,0,1.13,Bayonne,NJ,7002,20130124,2,1963,1,0,0,0,0,0,0,2,-1,-1,-1,0,1,-2,-2,-2,0,1,0,0,0
33332,12,2011-12,1,2011-12,-2,-2,42.0101,-1,0,0,-2,-2,-1,6,0,0,"Jersey City",NJ,7304,20110606,2,1983,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,70,54,-1,0,0,0,0,0
33370,15,2012-13,3,2012-13,-2,-2,42.0101,-1,0,0,-2,-2,-1,6,2.57,2.56,"Jersey City",NJ,7307,20120712,2,1983,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,60,60,-1,0,0,0,0,0
34166,16,2015-16,6,2014-15,-2,-2,51.3801,-1,0,0,-2,-2,-1,6,4,3.83,Elizabeth,NJ,7208,20140126,2,1982,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,-1,79,-1,0,0,0,0,0
34272,16,2013-14,3,2013-14,-2,-2,51,-1,0,0,-2,-2,-1,6,3.36,3.36,Bayonne,NJ,7087,20130819,1,1989,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,95,44,-1,0,0,0,0,0
34380,14,2013-14,1,2012-13,-2,-2,45.1001,-1,0,0,-2,-2,-1,6,0,2.86,"Perth Amboy",NJ,8861,20121127,1,1983,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,2,60,39,-1,2,0,0,0,0
34474,13,2012-13,3,2012-13,0,1,43.0199,-1,0,0,-2,-2,-1,6,0.33,0.33,"Jersey City",NJ,7305,20120712,2,1982,0,0,0,1,0,0,0,1,2001,2.1,-1,0,1,-2,-2,-2,0,1,1,0,0
34666,13,2011-12,3,2011-12,-2,-2,43.0399,-1,0,0,-2,-2,-1,6,4,4,Sayreville,NJ,7031,20110411,1,1991,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,74,66,-1,2,0,0,0,0
34919,15,2012-13,3,2012-13,-2,-2,42.0101,13,0,0,-2,-2,-1,6,3.5,3.5,"Jersey City",NJ,7305,20120712,2,1983,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,50,50,-1,2,0,0,0,0
34937,15,2013-14,3,2012-13,-2,-2,11.0101,-1,0,0,-2,-2,-1,6,4,4,"Jersey City",NJ,7305,20121220,1,1987,0,0,1,0,0,0,0,1,-1,-1,-1,0,2,129,96,-1,3,0,0,0,0
35056,14,2011-12,1,2011-12,-2,-2,52.0201,-1,0,0,-2,-2,-1,6,3.07,3.07,"North Bergen",NJ,7093,20110714,1,1973,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,75,63,-1,0,0,0,0,0
35315,14,2011-12,1,2011-12,-2,-2,0,-1,0,0,-2,-2,-1,6,2.8,2.8,"North Bergen",NJ,7086,20110902,1,1978,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,13,10,-1,0,0,0,0,0
35433,14,2013-14,3,2013-14,-2,-2,11.0101,-1,0,0,-2,-2,-1,6,3.24,3.23,Bayonne,NJ,7002,20130612,1,1993,0,0,0,0,0,0,1,1,-1,-1,-1,0,2,12,12,-1,0,0,0,0,0
35803,16,2014-15,6,2013-14,-1,-1,0,-1,0,0,-2,-2,-1,6,4,3.13,Bayonne,NJ,7002,20140117,2,1965,0,0,0,0,0,1,0,1,-1,3.48,-1,0,1,-2,-2,-2,0,-1,-1,0,1
36082,17,2016-17,6,2013-14,-2,-2,42.0101,-1,0,0,-2,-2,-1,6,3.83,3.14,Bayonne,NJ,7087,20131030,2,1984,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,74,56,-1,2,0,0,0,0
36438,17,2011-12,3,2011-12,-2,-2,43.0199,-1,0,0,-2,-2,-1,6,2,2,Elizabeth,NJ,7206,20111028,2,1992,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,25,25,-1,0,0,0,0,0
36945,12,2011-12,3,2011-12,-1,-1,0,-1,0,0,-2,-2,-1,6,4,4,Bayonne,NJ,7002,20120106,1,1986,0,0,1,0,0,0,0,1,-1,-1,-1,0,1,-2,-2,-2,0,-1,-1,0,0
37218,17,2015-16,6,2015-16,-2,-2,52.0301,-1,0,0,-2,-2,-1,6,2.9,2.9,"North Bergen",NJ,7047,20150417,2,1977,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,74,60,-1,2,0,0,0,0
37630,13,2011-12,3,2011-12,-2,-2,42.0101,-1,0,0,-2,-2,-1,6,3.82,3.82,Bayonne,NJ,7304,20110412,2,1974,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,136,70,-1,0,0,0,0,0
37639,13,2012-13,3,2012-13,-2,-2,51.3801,-1,0,0,-2,-2,-1,6,3.4,3.4,Bayonne,NJ,7002,20120627,2,1981,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,2,0,0,-1,2,0,0,0,0
38319,14,2012-13,1,2012-13,-2,-2,52.0801,-1,0,0,-2,-2,-1,6,2.58,3.07,Eatontown,NJ,7724,20120511,1,1983,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,2,0,0,-1,2,0,0,0,0
39414,13,2011-12,1,2011-12,-2,-2,52.0201,-1,0,0,-2,-2,-1,6,3.07,3.07,"Jersey City",NJ,7107,20110901,1,1983,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,106,81,-1,0,0,0,0,0
39588,16,2014-15,1,2014-15,-2,-2,0,-1,0,0,-2,-2,-1,6,3.7,3.7,"Saddle Brook",NJ,7663,20140714,1,1974,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,0,0,-1,0,0,0,1,0
40825,17,2015-16,1,2015-16,-2,-2,42.0101,-1,0,0,-2,-2,-1,6,3.84,3.83,"West Orange",NJ,7470,20150616,2,1983,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,127,96,-1,0,0,0,0,0
40904,14,2013-14,3,2013-14,-2,-2,26.0101,-1,0,0,-2,-2,-1,6,0,0,Paterson,NJ,7504,20140122,2,1964,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,61,51,-1,0,0,0,0,0
41744,15,2012-13,3,2012-13,-2,-2,52.1401,-1,0,0,-2,-2,-1,6,4,3.87,Bayonne,NJ,7002,20120509,1,1988,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,51,51,-1,0,0,0,0,0
42888,14,2012-13,3,2012-13,-2,-2,42.0101,-1,0,0,-2,-2,-1,6,3.5,3.5,"Jersey City",NJ,7302,20120830,2,1983,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,143,66,-1,0,0,0,0,0
43071,17,2014-15,1,2014-15,-2,-2,51.3801,-1,0,0,-2,-2,-1,6,3.67,3.66,"Jersey City",NJ,7305,20140619,1,1983,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,-1,70,-1,2,0,0,0,0
43279,17,2016-17,3,2016-17,-2,-2,13.1209,-1,0,0,-2,-2,-1,6,3.85,3.85,Bayonne,NJ,7002,20160616,2,1973,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,-1,96,-1,3,0,0,0,0
43344,14,2013-14,1,2013-14,-2,-2,52.0301,-1,0,0,-2,-2,-1,6,0,0,"Union City",NJ,7087,20130711,2,1978,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,97,66,-1,2,0,0,0,0
43419,17,2015-16,3,2015-16,-2,-2,52.0201,-1,0,0,-2,-2,-1,6,3.43,3.42,"North Bergen",NJ,7047,20150702,2,1966,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,56,60,-1,2,0,0,0,0
43422,16,2013-14,1,2013-14,-2,-2,13.1202,-1,0,0,-2,-2,-1,6,2.43,2.42,Newark,NJ,7104,20130427,1,1970,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,95,66,-1,2,0,0,0,0
43477,17,2016-17,3,2016-17,-2,-2,51,-1,0,0,-2,-2,-1,6,1,1,"Jersey City",NJ,7304,20160412,2,1974,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,37,22,-1,0,0,0,1,0
43533,13,2012-13,3,2012-13,-2,-2,43.0203,-1,0,0,-2,-2,-1,6,2.67,2.66,"Jersey City",NJ,7302,20130123,1,1982,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,121,96,-1,3,0,0,0,0
43686,16,2011-12,3,2011-12,0,-2,13.1209,50,0,0,-2,-2,-1,6,2.25,2.25,Bayonne,NJ,7002,20110718,2,1982,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,40,24,-1,0,1,0,1,0
43733,17,2011-12,1,2011-12,0,1,50.0701,-1,0,0,-2,-2,-1,6,2.78,2.78,"Jersey City",NJ,7307,20110607,1,1993,0,0,0,1,0,0,0,1,2011,-1,-1,0,1,-2,-2,-2,0,1,1,1,0
43777,17,2014-15,3,2014-15,-2,-2,45.1101,-1,0,0,-2,-2,-1,6,2.65,2.65,"Jersey City",NJ,7305,20140827,2,1983,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,120,96,-1,3,0,0,0,0
43882,14,2012-13,3,2012-13,0,0,52.0201,-1,0,0,-2,-2,-1,6,3.5,3.5,"Jersey City",NJ,7305,20120802,2,1989,0,0,1,0,0,0,0,1,-1,-1,-1,0,2,50,9,-1,2,1,1,0,0
44104,14,2012-13,3,2012-13,-2,-2,43.0199,-1,0,0,-2,-2,-1,6,3.4,3.4,"West New York",NJ,7093,20120821,1,1982,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,67,66,-1,2,0,0,0,0
44318,17,2016-17,3,2015-16,-2,-2,42.0101,-1,0,0,-2,-2,-1,6,2.95,2.82,"Jersey City",NJ,7305,20150122,2,1993,0,1,0,0,0,0,0,1,-1,-1,-1,0,2,79,66,-1,2,0,0,0,0
44372,14,2013-14,6,2013-14,-2,-2,43.0199,-1,0,0,-2,-2,-1,6,3.93,3.92,Howell,NJ,7305,20130614,1,1992,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,80,64,-1,2,0,0,0,0
44496,17,2013-14,6,2013-14,0,1,13.1209,-1,0,0,-2,-2,-1,6,2.84,2.83,"Jersey City",NJ,7305,20130702,2,1995,1,0,0,0,0,0,0,1,2013,2.25,-1,0,1,-2,-2,-2,0,1,1,1,0
44549,15,2013-14,3,2012-13,-2,-2,26.0101,-1,0,0,-2,-2,-1,6,3,3.19,"Jersey City",NJ,7304,20121023,2,1991,0,0,1,0,0,0,0,1,-1,-1,-1,0,2,14,66,-1,2,0,0,0,0
44757,17,2016-17,6,2016-17,-2,-2,13.1001,-1,0,0,-2,-2,-1,6,2.1,2.1,Bergenfield,NJ,7621,20160816,2,1983,0,0,1,0,0,0,0,1,-1,-1,-1,0,2,77,43,-1,0,0,0,0,0
45090,15,2011-12,6,2011-12,-2,-2,9.0101,-1,0,0,-2,-2,-1,6,3.23,3.23,"Jersey City",NJ,7305,20110803,1,1987,0,0,1,0,0,0,0,-1,-1,-1,-1,0,2,39,33,-1,0,0,0,0,0
51316,13,2011-12,3,2011-12,-2,-2,51.3801,-1,0,0,-2,-2,-1,6,3.06,3.06,Bayonne,NJ,7002,20110902,2,1978,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,72,63,-1,2,0,0,0,0
52169,15,2013-14,3,2012-13,-2,-2,45.1001,-1,0,0,-2,-2,-1,6,3,2.9,"Jersey City",NJ,7304,20130111,2,1977,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,87,69,-1,0,0,0,0,0
52248,17,2013-14,3,2013-14,-2,-2,52.0201,-1,0,0,-2,-2,-1,6,2.77,2.07,"Jersey City",NJ,7304,20130814,1,1970,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,87,66,-1,2,0,0,0,0
55512,17,2011-12,1,2011-12,-2,-2,0,-1,0,0,-2,-2,-1,6,1.26,1.26,"Jersey City",NJ,7304,20110825,2,1979,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,2,67,64,-1,2,0,0,0,0
63106,12,2011-12,3,2011-12,1,1,0,-1,0,0,-2,-2,-1,6,1,1,"Jersey City",NJ,7305,20110628,2,1993,1,0,0,0,0,0,0,1,2011,2.9,-1,0,1,-2,-2,-2,0,1,1,0,0
63303,16,2011-12,3,2011-12,0,1,0,-1,0,0,-2,-2,-1,6,3.9,3.9,"Jersey City",NJ,7305,20110714,2,1993,0,0,1,0,0,0,0,1,2011,3.2,-1,0,1,-2,-2,-2,0,1,1,0,0
63322,15,2011-12,3,2011-12,1,1,43.0199,-1,0,0,-2,-2,-1,6,2.7,2.7,"Jersey City",NJ,7305,20110829,2,1993,1,0,0,0,0,0,0,1,2011,2.4,-1,0,1,-2,-2,-2,0,1,1,0,0
63345,13,2011-12,1,2011-12,-2,-2,51.3801,-1,0,0,-2,-2,-1,6,3.17,3.17,"Jersey City",NJ,7032,20110815,2,1977,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,81,70,-1,2,0,0,0,0
63766,17,2016-17,6,2016-17,-2,-2,16.0905,-1,0,0,-2,-2,-1,6,3.1,3.1,Newark,NJ,7307,20160420,2,1982,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,56,59,-1,2,0,0,0,0
63908,16,2015-16,1,2015-16,-2,-2,26.0101,-1,0,0,-2,-2,-1,6,3.5,3.5,"Jersey City",NJ,7302,20150721,2,1991,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,100,46,-1,0,0,0,0,0
64083,17,2014-15,3,2013-14,-2,-2,52.0201,-1,0,0,-2,-2,-1,6,2.85,3.1,"Jersey City",NJ,7305,20140121,2,1981,0,0,1,0,0,0,0,1,-1,-1,-1,0,2,61,40,-1,0,0,0,0,0
64122,17,2015-16,3,2014-15,1,1,51.0999,-1,0,0,-2,-2,-1,6,4,3.68,"Jersey City",NJ,7306,20141216,1,1984,1,0,0,0,0,0,0,1,2001,2.8,-1,0,1,-2,-2,-2,0,1,1,0,1
64199,13,2012-13,6,2012-13,-2,-2,51.3899,-1,0,0,-2,-2,-1,6,3.75,3.74,"Cliffside Park",NJ,7087,20120731,2,1983,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,0,0,-1,0,0,0,0,0
64777,17,2015-16,3,2014-15,0,0,45.1101,-1,0,0,-2,-2,-1,6,3.85,3.71,"Jersey City",NJ,7305,20140128,1,1995,0,0,1,0,0,0,0,1,2014,-1,-1,0,1,-2,-2,-2,0,1,1,0,0
64886,13,2012-13,3,2012-13,-2,-2,51.3801,-1,0,0,-2,-2,-1,6,3.7,3.7,Bayonne,NJ,7002,20120828,2,1969,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,100,70,-1,2,0,0,0,0
65040,13,2012-13,3,2012-13,0,1,43.0199,-1,0,0,-2,-2,-1,6,0,0,Elizabeth,NJ,7087,20121212,1,1982,1,0,0,0,0,0,0,1,2001,-1,-1,0,1,-2,-2,-2,0,1,1,0,0
65066,14,2012-13,6,2012-13,-2,-2,51.3801,-1,0,0,-2,-2,-1,6,2.8,2.8,"East Rutherford",NJ,7087,20120712,2,1984,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,89,76,-1,0,0,0,0,0
65424,15,2012-13,1,2012-13,-2,-2,0,-1,0,0,-2,-2,-1,6,2.5,2.5,Bayonne,NJ,7002,20120625,2,1983,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,86,81,-1,0,0,0,0,0
65687,15,2013-14,3,2013-14,-2,-2,42.0101,-1,0,0,-2,-2,-1,6,2.75,2.75,Bayonne,NJ,7305,20130723,2,1965,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,68,65,-1,2,0,0,0,0
65929,16,2011-12,1,2011-12,0,0,0,-1,0,0,-2,-2,-1,6,2.8,2.8,"Jersey City",NJ,7307,20110607,2,1993,0,0,1,0,0,0,0,1,2011,2.5,-1,0,1,-2,-2,-2,0,1,1,0,0
66350,15,2013-14,3,2012-13,-2,-2,45.1101,-1,0,0,-2,-2,-1,6,2.93,3.14,"Jersey City",NJ,7306,20130118,2,1982,1,0,0,0,0,0,0,-1,-1,-1,-1,0,2,67,66,-1,2,0,0,0,0
66661,15,2011-12,6,2011-12,-2,1,0,-1,0,0,-2,-2,-1,6,3.03,3.03,"Jersey City",NJ,7305,20110415,2,1993,1,0,0,0,0,0,0,1,2011,3,-1,0,1,-2,-2,-2,0,0,1,0,0
66672,13,2012-13,1,2012-13,0,0,43.0199,-1,0,0,-2,-2,-1,6,1.83,2.46,"Jersey City",NJ,7305,20120410,2,1984,1,0,0,0,0,0,0,1,2001,2.28,-1,0,1,-2,-2,-2,0,1,1,0,1
66715,14,2011-12,3,2011-12,-2,-2,43.0399,-1,0,0,-2,-2,-1,6,0.75,0.75,Woodbridge,NJ,7095,20110722,1,1986,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,42,33,-1,0,0,0,0,0
66738,14,2013-14,1,2013-14,-2,-2,13.1209,-1,0,0,-2,-2,-1,6,0,0,Passaic,NJ,7055,20130709,2,1984,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,2,87,66,-1,2,0,0,0,0
